,Song Title,Artist
42,Save Me,Jelly Roll
43,The Christmas Song (Merry Christmas to You),"Nat ""King"" Cole"
44,Snowman,Sia
45,Anti-Hero,Taylor Swift
46,Fairytale Of Philadelphia,"The Philly Specials, Jason Kelce & Travis Kelce"
48,Can’t Catch Me Now (from The Hunger Games: The Ballad of Songbirds & Snakes),Olivia Rodrigo
49,Around Me the Cold Night,Luminara Stellaris
50,Love Story (Taylor’s Version),Taylor Swift
51,Seven (Explicit Ver.),Jung Kook & Latto
52,MONACO,Bad Bunny
53,Watermelon Moonshine,Lainey Wilson
55,Better Place (From TROLLS Band Together),*NSYNC & Justin Timberlake
56,Wizards in Winter (Instrumental),Trans-Siberian Orchestra
57,Son Of A Sinner,Jelly Roll
58,Calm Down,Rema & Selena Gomez
59,Fancy Like Christmas,Walker Hayes
60,Tennessee Whiskey,Chris Stapleton
62,You Belong With Me (Taylor’s Version),Taylor Swift
63,exes,Tate McRae
66,Next Winter I Will Wait for You Forever,Luminara Stellaris
67,Talking to the Moon,Bruno Mars
68,Islands In the Stream,Dolly Parton & Kenny Rogers
69,Paper Rings,Taylor Swift
70,Look What You Made Me Do,Taylor Swift
71,Evil Ways (feat. J. Cole),Drake
72,White Christmas,Bing Crosby
73,Flyin' Pass (Single),Caldwell
74,The Chipmunk Song (Christmas Don't Be Late),Alvin & The Chipmunks
75,You Broke My Heart,Drake
76,Dial Drunk,Noah Kahan & Post Malone
77,A Mad Russian's Christmas (Instrumental),Trans-Siberian Orchestra
78,Presha,2 Chainz & Lil Wayne
79,TRUCK BED,HARDY
80,Something in the Orange (Z&E's Version),Zach Bryan
81,...Ready For It?,Taylor Swift
83,ONE MORE TIME,blink-182
84,Out of This World,Cody Webb
85,A Lot More Free,Max McNown
86,World on Fire,Nate Smith
87,G6,2 Chainz & Lil Wayne
88,Last Christmas (Single Version),Wham!
89,Everleave,Alexandra Kay
90,Even Though I Know You,Luminara Stellaris
91,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish
93,Bigger Than The Whole Sky,Taylor Swift
95,Good Good,"USHER, Summer Walker & 21 Savage"
96,vampire,Olivia Rodrigo
98,Strong,Anne Wilson
99,Gratitude,Brandon Lake
